id,name,type,country,city,latitude,longitude,average_price_usd,rating,rating_count,amenities,description,popularity_score,category,nearby_destinations,generated_at
gt_1015,Tel Aviv Park,attraction,Israel,Tel Aviv,32.041232,34.828175,15.45,3.68,49810,"Pet Friendly, Non-smoking",Tel Aviv Park is a popular attraction in Tel Aviv. Visitors enjoy its scenic value and cultural importance.,100,nature,"Kyoto Beach, Rio de Janeiro Museum",2025-10-31T17:59:12.154299Z
gt_1016,Kiev Boutique,hotel,Ukraine,Kiev,50.471766,30.569042,61.71,4.54,973,Fitness Center,"Comfortable Kiev Boutique located in Kiev, offering Fitness Center. Suitable for business and leisure travelers.",69,cultural,"Geneva Hotel, Bengaluru Boutique, Dubai Old Town",2025-10-31T17:59:12.154330Z
gt_1017,Kuala Lumpur Airport,airport,Malaysia,Kuala Lumpur,3.123794,101.638005,0.0,4.73,767,"Free WiFi, Bar","Kuala Lumpur Kuala Lumpur Airport, main air transport hub serving the region.",67,urban,"Amsterdam Inn, Nairobi Hotel, Phuket Viewpoint",2025-10-31T17:59:12.154372Z
gt_1018,Phuket Downtown,destination,Thailand,Phuket,7.849077,98.437002,2.14,4.62,376,"Pool, Parking, Fitness Center","Phuket Downtown area in Phuket, known for its local culture and points of interest.",58,budget,Ho Chi Minh City Viewpoint,2025-10-31T17:59:12.154401Z
gt_1019,Delhi Beach,attraction,India,Delhi,28.655494,77.14114,6.98,3.18,1003,Family Rooms,Delhi Beach is a popular attraction in Delhi. Visitors enjoy its scenic value and cultural importance.,64,luxury,"Berlin Inn, New York Waterfront, Warsaw Inn",2025-10-31T17:59:12.154435Z
gt_102,Jakarta Retreat,resort,Indonesia,Jakarta,-6.244022,106.863673,138.29,4.27,11829,Family Rooms,Relaxing resort in Jakarta with Family Rooms. Ideal for holidays and retreats.,95,nature,Stockholm Waterfront,2025-10-31T17:59:12.130609Z
gt_1020,Montreal Lodge,hotel,Canada,Montreal,45.468449,-73.612657,115.2,2.56,4623,"Parking, Pet Friendly, Family Rooms","Comfortable Montreal Lodge located in Montreal, offering Parking, Pet Friendly, Family Rooms. Suitable for business and leisure travelers.",87,cultural,"Johannesburg Old Town, Montreal Monument, Manila Suites",2025-10-31T17:59:12.154469Z
gt_1021,Santiago Park,attraction,Chile,Santiago,-33.408167,-70.707847,10.48,4.68,9276,"Pet Friendly, Bar, Fitness Center, Spa",Santiago Park is a popular attraction in Santiago. Visitors enjoy its scenic value and cultural importance.,87,family,"Brussels Hotel, Jakarta Museum",2025-10-31T17:59:12.154502Z
gt_1022,Busan Boutique,hotel,South Korea,Busan,35.208168,129.077825,66.37,2.76,2766,Non-smoking,"Comfortable Busan Boutique located in Busan, offering Non-smoking. Suitable for business and leisure travelers.",83,urban,Barcelona Boutique,2025-10-31T17:59:12.154523Z
gt_1023,New York Monument,attraction,United States,New York,40.735833,-73.967928,13.46,3.2,7349,"Airport Shuttle, Fitness Center, Pet Friendly, Family Rooms",New York Monument is a popular attraction in New York. Visitors enjoy its scenic value and cultural importance.,92,urban,,2025-10-31T17:59:12.154539Z
gt_1024,Zurich Hotel,hotel,Switzerland,Zurich,47.387766,8.507157,124.9,3.58,12304,"Airport Shuttle, Parking, Fitness Center","Comfortable Zurich Hotel located in Zurich, offering Airport Shuttle, Parking, Fitness Center. Suitable for business and leisure travelers.",98,urban,Barcelona Waterfront,2025-10-31T17:59:12.154556Z
gt_1025,Shanghai Airport,airport,China,Shanghai,31.196651,121.429097,0.0,4.59,1774,Non-smoking,"Shanghai Shanghai Airport, main air transport hub serving the region.",70,cultural,Beijing Waterfront,2025-10-31T17:59:12.154577Z
gt_1026,Tel Aviv Inn,hotel,Israel,Tel Aviv,32.127755,34.817825,103.52,4.53,10864,"Free WiFi, Breakfast Included","Comfortable Tel Aviv Inn located in Tel Aviv, offering Free WiFi, Breakfast Included. Suitable for business and leisure travelers.",88,luxury,"Abu Dhabi Suites, Phuket Old Town",2025-10-31T17:59:12.154597Z
gt_1027,Barcelona Suites,hotel,Spain,Barcelona,41.432968,2.1511,100.64,4.07,11038,"Bar, Non-smoking","Comfortable Barcelona Suites located in Barcelona, offering Bar, Non-smoking. Suitable for business and leisure travelers.",88,budget,Paris Old Town,2025-10-31T17:59:12.154613Z
gt_1028,Delhi Central Station,railway_station,India,Delhi,28.687647,77.057203,0.0,3.9,1741,"Bar, Pool",Delhi Central Station serving Delhi with national and regional connections.,72,adventure,"Hong Kong Park, Budapest Temple",2025-10-31T17:59:12.154630Z
gt_1029,Buenos Aires Hotel,hotel,Argentina,Buenos Aires,-34.592589,-58.409176,56.67,4.41,13578,"Parking, Bar, Pet Friendly, Beach Access","Comfortable Buenos Aires Hotel located in Buenos Aires, offering Parking, Bar, Pet Friendly, Beach Access. Suitable for business and leisure travelers.",99,luxury,,2025-10-31T17:59:12.154645Z
gt_103,Hanoi Historic District,destination,Vietnam,Hanoi,21.030348,105.815575,1.98,3.79,857,"Beach Access, Airport Shuttle","Hanoi Historic District area in Hanoi, known for its local culture and points of interest.",68,budget,"Rome Old Town, Oslo Monument, Johannesburg Waterfront",2025-10-31T17:59:12.130629Z
gt_1030,Chicago Monument,attraction,United States,Chicago,41.852894,-87.583264,13.42,4.3,44948,Parking,Chicago Monument is a popular attraction in Chicago. Visitors enjoy its scenic value and cultural importance.,100,adventure,"Bali Park, Ho Chi Minh City Old Town, Auckland Beach",2025-10-31T17:59:12.154664Z
gt_1031,Barcelona Temple,attraction,Spain,Barcelona,41.385209,2.160089,9.47,4.08,13310,Beach Access,Barcelona Temple is a popular attraction in Barcelona. Visitors enjoy its scenic value and cultural importance.,96,family,,2025-10-31T17:59:12.154681Z
gt_1032,Santiago Airport,airport,Chile,Santiago,-33.440779,-70.64142,0.0,4.36,1824,Beach Access,"Santiago Santiago Airport, main air transport hub serving the region.",73,adventure,"Seoul Monument, Warsaw Suites, Cancun Beach",2025-10-31T17:59:12.154701Z
gt_1033,Saint Petersburg Temple,attraction,Russia,Saint Petersburg,59.897248,30.301994,15.49,3.74,12872,"Family Rooms, Airport Shuttle, Non-smoking",Saint Petersburg Temple is a popular attraction in Saint Petersburg. Visitors enjoy its scenic value and cultural importance.,98,budget,"Accra Beach, Kiev Waterfront, Beijing Inn",2025-10-31T17:59:12.154720Z
gt_1034,Las Vegas Central Station,railway_station,United States,Las Vegas,36.130041,-115.138331,0.0,4.74,523,"Beach Access, Non-smoking",Las Vegas Central Station serving Las Vegas with national and regional connections.,59,nature,"Doha Downtown, Dubai Old Town",2025-10-31T17:59:12.154747Z
gt_1035,Helsinki Monument,attraction,Finland,Helsinki,60.214623,24.985811,11.63,4.17,48495,"Spa, Non-smoking, Airport Shuttle, Breakfast Included",Helsinki Monument is a popular attraction in Helsinki. Visitors enjoy its scenic value and cultural importance.,100,budget,"Kolkata Park, Doha Inn, Osaka Downtown",2025-10-31T17:59:12.154781Z
gt_1036,Cancun Beach,attraction,Mexico,Cancun,21.182541,-86.864916,8.49,3.43,17092,"Free WiFi, Airport Shuttle",Cancun Beach is a popular attraction in Cancun. Visitors enjoy its scenic value and cultural importance.,93,urban,,2025-10-31T17:59:12.154806Z
gt_1037,Lima Suites,hotel,Peru,Lima,-12.059328,-77.045581,58.19,3.45,11312,"Parking, Pet Friendly, Bar","Comfortable Lima Suites located in Lima, offering Parking, Pet Friendly, Bar. Suitable for business and leisure travelers.",94,adventure,"Baghdad Inn, Cancun Temple",2025-10-31T17:59:12.154826Z
gt_1038,Buenos Aires Boutique,hotel,Argentina,Buenos Aires,-34.651487,-58.361826,82.62,3.21,7069,"Breakfast Included, Spa","Comfortable Buenos Aires Boutique located in Buenos Aires, offering Breakfast Included, Spa. Suitable for business and leisure travelers.",84,nature,Lagos Suites,2025-10-31T17:59:12.154842Z
gt_1039,Hanoi Boutique,hotel,Vietnam,Hanoi,20.995972,105.869545,91.02,3.24,5608,"Beach Access, Family Rooms","Comfortable Hanoi Boutique located in Hanoi, offering Beach Access, Family Rooms. Suitable for business and leisure travelers.",83,cultural,"Guadalajara Waterfront, Buenos Aires Lodge",2025-10-31T17:59:12.154863Z
gt_104,Amsterdam Downtown,destination,Netherlands,Amsterdam,52.386624,4.903,5.62,4.22,1776,"Family Rooms, Parking, Airport Shuttle","Amsterdam Downtown area in Amsterdam, known for its local culture and points of interest.",72,urban,"Doha Inn, Saint Petersburg Inn",2025-10-31T17:59:12.130658Z
gt_1040,Los Angeles Beach Resort,resort,United States,Los Angeles,34.10197,-118.198334,183.67,3.2,1954,"Spa, Beach Access, Pool","Relaxing resort in Los Angeles with Spa, Beach Access, Pool. Ideal for holidays and retreats.",74,cultural,,2025-10-31T17:59:12.154879Z
gt_1041,Chennai Park,attraction,India,Chennai,13.097262,80.293787,11.56,4.55,19731,"Breakfast Included, Airport Shuttle, Free WiFi",Chennai Park is a popular attraction in Chennai. Visitors enjoy its scenic value and cultural importance.,100,urban,"Delhi Waterfront, Delhi Viewpoint, Chicago Monument",2025-10-31T17:59:12.154899Z
gt_1042,Stockholm International Airport,airport,Sweden,Stockholm,59.353212,18.036222,0.0,3.22,754,"Pool, Fitness Center, Breakfast Included, Pet Friendly","Stockholm Stockholm International Airport, main air transport hub serving the region.",63,urban,Cancun Downtown,2025-10-31T17:59:12.154919Z
gt_1043,Kolkata Lodge,hotel,India,Kolkata,22.565597,88.382097,38.92,3.55,2690,Bar,"Comfortable Kolkata Lodge located in Kolkata, offering Bar. Suitable for business and leisure travelers.",81,beach,"Lagos Old Town, Delhi Lodge, Dublin Monument",2025-10-31T17:59:12.154940Z
gt_1044,Hong Kong Hotel,hotel,China,Hong Kong,22.362057,114.156149,72.69,4.58,774,"Spa, Parking, Fitness Center","Comfortable Hong Kong Hotel located in Hong Kong, offering Spa, Parking, Fitness Center. Suitable for business and leisure travelers.",62,nature,,2025-10-31T17:59:12.154955Z
gt_1045,Paris Inn,hotel,France,Paris,48.867022,2.324871,131.03,3.99,1086,"Spa, Pet Friendly, Parking","Comfortable Paris Inn located in Paris, offering Spa, Pet Friendly, Parking. Suitable for business and leisure travelers.",74,luxury,Auckland Hotel,2025-10-31T17:59:12.154972Z
gt_1046,Phuket Monument,attraction,Thailand,Phuket,7.865506,98.357717,10.55,4.32,32404,"Free WiFi, Airport Shuttle",Phuket Monument is a popular attraction in Phuket. Visitors enjoy its scenic value and cultural importance.,99,beach,Sao Paulo Downtown,2025-10-31T17:59:12.154988Z
gt_1047,Shanghai Historic District,destination,China,Shanghai,31.249723,121.505168,4.25,3.34,1487,"Airport Shuttle, Pet Friendly, Spa, Non-smoking","Shanghai Historic District area in Shanghai, known for its local culture and points of interest.",77,cultural,"Phuket Park, Beijing Viewpoint",2025-10-31T17:59:12.155005Z
gt_1048,Tel Aviv Boutique,hotel,Israel,Tel Aviv,32.086028,34.828999,102.2,2.85,13983,"Bar, Airport Shuttle, Pet Friendly, Non-smoking","Comfortable Tel Aviv Boutique located in Tel Aviv, offering Bar, Airport Shuttle, Pet Friendly, Non-smoking. Suitable for business and leisure travelers.",92,urban,San Francisco Hotel,2025-10-31T17:59:12.155023Z
gt_1049,Buenos Aires Hotel,hotel,Argentina,Buenos Aires,-34.643833,-58.382461,69.07,3.49,6384,"Pool, Fitness Center, Spa, Airport Shuttle","Comfortable Buenos Aires Hotel located in Buenos Aires, offering Pool, Fitness Center, Spa, Airport Shuttle. Suitable for business and leisure travelers.",88,budget,,2025-10-31T17:59:12.155038Z
gt_105,Accra Viewpoint,attraction,Ghana,Accra,5.575099,-0.154205,6.55,3.23,44348,"Beach Access, Pet Friendly, Spa, Breakfast Included",Accra Viewpoint is a popular attraction in Accra. Visitors enjoy its scenic value and cultural importance.,100,adventure,"Vancouver Lodge, Goa Waterfront",2025-10-31T17:59:12.130677Z
gt_1050,Buenos Aires Boutique,hotel,Argentina,Buenos Aires,-34.640598,-58.410618,49.34,4.7,10366,"Bar, Pool","Comfortable Buenos Aires Boutique located in Buenos Aires, offering Bar, Pool. Suitable for business and leisure travelers.",94,cultural,"Kolkata Downtown, Lima Inn, Johannesburg Suites",2025-10-31T17:59:12.155060Z
gt_1051,Seoul Inn,hotel,South Korea,Seoul,37.589925,126.963374,121.18,3.58,12369,"Breakfast Included, Spa, Pet Friendly","Comfortable Seoul Inn located in Seoul, offering Breakfast Included, Spa, Pet Friendly. Suitable for business and leisure travelers.",97,nature,Tehran Park,2025-10-31T17:59:12.155078Z
gt_1052,Sao Paulo Boutique,hotel,Brazil,Sao Paulo,-23.547343,-46.656144,95.57,3.23,817,"Airport Shuttle, Non-smoking, Parking, Bar","Comfortable Sao Paulo Boutique located in Sao Paulo, offering Airport Shuttle, Non-smoking, Parking, Bar. Suitable for business and leisure travelers.",63,urban,,2025-10-31T17:59:12.155095Z
gt_1053,Abu Dhabi Inn,hotel,United Arab Emirates,Abu Dhabi,24.425875,54.365837,102.38,4.1,9166,"Pool, Non-smoking, Fitness Center","Comfortable Abu Dhabi Inn located in Abu Dhabi, offering Pool, Non-smoking, Fitness Center. Suitable for business and leisure travelers.",91,beach,Los Angeles Historic District,2025-10-31T17:59:12.155112Z
gt_1054,Rome Beach Resort,resort,Italy,Rome,41.889629,12.489212,176.4,2.82,7768,"Beach Access, Pool, Pet Friendly","Relaxing resort in Rome with Beach Access, Pool, Pet Friendly. Ideal for holidays and retreats.",88,adventure,"Berlin Suites, Goa Historic District, Shanghai Historic District",2025-10-31T17:59:12.155131Z
gt_1055,Toronto Suites,hotel,Canada,Toronto,43.657912,-79.397425,121.8,3.01,10995,Family Rooms,"Comfortable Toronto Suites located in Toronto, offering Family Rooms. Suitable for business and leisure travelers.",94,budget,Manila Lodge,2025-10-31T17:59:12.155149Z
gt_1056,Rome Resort,resort,Italy,Rome,41.877165,12.518045,191.12,2.49,2603,Pool,Relaxing resort in Rome with Pool. Ideal for holidays and retreats.,82,beach,"Sydney Viewpoint, Montreal Beach, Toronto Monument",2025-10-31T17:59:12.155169Z
gt_1057,Brussels Retreat,resort,Belgium,Brussels,50.867795,4.304532,155.39,2.3,7785,"Pool, Spa","Relaxing resort in Brussels with Pool, Spa. Ideal for holidays and retreats.",90,family,"Geneva Museum, Bali Park, Honolulu Waterfront",2025-10-31T17:59:12.155188Z
gt_1058,Hanoi Waterfront,destination,Vietnam,Hanoi,21.010682,105.803038,3.12,3.76,485,"Non-smoking, Bar","Hanoi Waterfront area in Hanoi, known for its local culture and points of interest.",65,family,"Singapore Monument, Montreal Waterfront",2025-10-31T17:59:12.155206Z
gt_1059,Guangzhou Inn,hotel,China,Guangzhou,23.084094,113.228428,68.74,2.78,13808,Pet Friendly,"Comfortable Guangzhou Inn located in Guangzhou, offering Pet Friendly. Suitable for business and leisure travelers.",97,urban,"Dubai Boutique, Baghdad Suites, Geneva Viewpoint",2025-10-31T17:59:12.155225Z
gt_106,Doha Park,attraction,Qatar,Doha,25.24542,51.514029,9.07,4.41,15686,"Free WiFi, Non-smoking",Doha Park is a popular attraction in Doha. Visitors enjoy its scenic value and cultural importance.,99,urban,Baghdad Museum,2025-10-31T17:59:12.130694Z
gt_1060,Buenos Aires Boutique,hotel,Argentina,Buenos Aires,-34.584637,-58.428223,75.92,3.47,9388,"Family Rooms, Parking, Breakfast Included, Pool","Comfortable Buenos Aires Boutique located in Buenos Aires, offering Family Rooms, Parking, Breakfast Included, Pool. Suitable for business and leisure travelers.",92,family,Rio de Janeiro Lodge,2025-10-31T17:59:12.155241Z
gt_1061,Paris Inn,hotel,France,Paris,48.828874,2.322789,123.18,4.11,626,"Breakfast Included, Family Rooms, Beach Access, Spa","Comfortable Paris Inn located in Paris, offering Breakfast Included, Family Rooms, Beach Access, Spa. Suitable for business and leisure travelers.",66,family,"Vancouver Viewpoint, Kuala Lumpur Downtown, Osaka Waterfront",2025-10-31T17:59:12.155264Z
gt_1062,Manila Resort,resort,Philippines,Manila,14.578498,120.986652,77.92,3.33,2649,"Beach Access, Non-smoking, Airport Shuttle, Bar","Relaxing resort in Manila with Beach Access, Non-smoking, Airport Shuttle, Bar. Ideal for holidays and retreats.",77,family,Vancouver Boutique,2025-10-31T17:59:12.155282Z
gt_1063,Tel Aviv Suites,hotel,Israel,Tel Aviv,32.114471,34.762335,90.84,3.5,5423,"Breakfast Included, Airport Shuttle, Bar","Comfortable Tel Aviv Suites located in Tel Aviv, offering Breakfast Included, Airport Shuttle, Bar. Suitable for business and leisure travelers.",84,luxury,,2025-10-31T17:59:12.155298Z
gt_1064,Buenos Aires Monument,attraction,Argentina,Buenos Aires,-34.627321,-58.379018,8.92,4.43,15894,"Breakfast Included, Family Rooms, Parking",Buenos Aires Monument is a popular attraction in Buenos Aires. Visitors enjoy its scenic value and cultural importance.,95,budget,Hanoi Lodge,2025-10-31T17:59:12.155315Z
gt_1065,Kyoto Boutique,hotel,Japan,Kyoto,35.006154,135.72422,121.69,3.37,7825,"Family Rooms, Non-smoking","Comfortable Kyoto Boutique located in Kyoto, offering Family Rooms, Non-smoking. Suitable for business and leisure travelers.",92,budget,"Sydney Park, Melbourne Monument",2025-10-31T17:59:12.155333Z
gt_1066,Brisbane Central Station,railway_station,Australia,Brisbane,-27.518784,153.005277,0.0,3.54,1744,"Airport Shuttle, Breakfast Included, Beach Access",Brisbane Central Station serving Brisbane with national and regional connections.,74,beach,"Zurich Old Town, Tokyo Park",2025-10-31T17:59:12.155352Z
gt_1067,Saint Petersburg Hotel,hotel,Russia,Saint Petersburg,59.897936,30.29658,74.9,3.86,13493,Spa,"Comfortable Saint Petersburg Hotel located in Saint Petersburg, offering Spa. Suitable for business and leisure travelers.",95,urban,,2025-10-31T17:59:12.155367Z
gt_1068,Nairobi Railway Station,railway_station,Kenya,Nairobi,-1.316163,36.804626,0.0,4.07,389,"Family Rooms, Pet Friendly, Parking",Nairobi Railway Station serving Nairobi with national and regional connections.,54,beach,"Vancouver Old Town, Barcelona Suites, Reykjavik Inn",2025-10-31T17:59:12.155390Z
gt_1069,Delhi Inn,hotel,India,Delhi,28.685103,77.081776,92.07,3.86,3363,"Spa, Airport Shuttle, Beach Access","Comfortable Delhi Inn located in Delhi, offering Spa, Airport Shuttle, Beach Access. Suitable for business and leisure travelers.",78,adventure,Paris Park,2025-10-31T17:59:12.155406Z
gt_107,Sydney Park,attraction,Australia,Sydney,-33.865285,151.231612,12.79,4.05,10355,"Non-smoking, Parking, Bar, Airport Shuttle",Sydney Park is a popular attraction in Sydney. Visitors enjoy its scenic value and cultural importance.,91,nature,"Istanbul Historic District, Montreal Old Town",2025-10-31T17:59:12.130712Z
gt_1070,Bogota Hotel,hotel,Colombia,Bogota,4.716217,-74.031939,37.12,2.94,9503,"Fitness Center, Non-smoking, Beach Access, Bar","Comfortable Bogota Hotel located in Bogota, offering Fitness Center, Non-smoking, Beach Access, Bar. Suitable for business and leisure travelers.",86,family,,2025-10-31T17:59:12.155423Z
gt_1071,Kyoto Beach,attraction,Japan,Kyoto,35.045747,135.723945,15.61,4.11,3289,"Non-smoking, Pool",Kyoto Beach is a popular attraction in Kyoto. Visitors enjoy its scenic value and cultural importance.,85,cultural,"Honolulu Hotel, Brussels Inn, Paris Inn",2025-10-31T17:59:12.155442Z
gt_1072,Helsinki Beach,attraction,Finland,Helsinki,60.199221,24.889332,11.6,3.31,36645,"Beach Access, Bar, Pet Friendly",Helsinki Beach is a popular attraction in Helsinki. Visitors enjoy its scenic value and cultural importance.,100,nature,"Lagos Old Town, Singapore Park, Oslo Monument",2025-10-31T17:59:12.155464Z
gt_1073,Osaka Boutique,hotel,Japan,Osaka,34.710733,135.495078,161.49,2.78,3773,Airport Shuttle,"Comfortable Osaka Boutique located in Osaka, offering Airport Shuttle. Suitable for business and leisure travelers.",80,urban,"Bogota Lodge, Barcelona Historic District",2025-10-31T17:59:12.155482Z
gt_1074,Cancun Historic District,destination,Mexico,Cancun,21.129256,-86.837325,2.59,3.77,1589,"Family Rooms, Bar, Pet Friendly, Non-smoking","Cancun Historic District area in Cancun, known for its local culture and points of interest.",71,cultural,,2025-10-31T17:59:12.155497Z
gt_1075,Rome Inn,hotel,Italy,Rome,41.882401,12.45321,120.61,4.17,4242,"Spa, Airport Shuttle, Free WiFi, Non-smoking","Comfortable Rome Inn located in Rome, offering Spa, Airport Shuttle, Free WiFi, Non-smoking. Suitable for business and leisure travelers.",82,nature,Berlin Monument,2025-10-31T17:59:12.155513Z
gt_1076,Montreal Resort,resort,Canada,Montreal,45.544266,-73.612295,265.76,4.12,863,"Free WiFi, Parking, Beach Access","Relaxing resort in Montreal with Free WiFi, Parking, Beach Access. Ideal for holidays and retreats.",66,family,"Melbourne Lodge, Johannesburg Lodge, Melbourne Old Town",2025-10-31T17:59:12.155533Z
gt_1077,Baghdad Retreat,resort,Iraq,Baghdad,33.26921,44.411679,147.24,3.37,7696,"Pet Friendly, Fitness Center","Relaxing resort in Baghdad with Pet Friendly, Fitness Center. Ideal for holidays and retreats.",85,family,Seoul Boutique,2025-10-31T17:59:12.155549Z
gt_1078,Rio de Janeiro Boutique,hotel,Brazil,Rio de Janeiro,-22.877357,-43.212927,52.9,2.98,12125,"Airport Shuttle, Parking","Comfortable Rio de Janeiro Boutique located in Rio de Janeiro, offering Airport Shuttle, Parking. Suitable for business and leisure travelers.",92,luxury,Dublin Historic District,2025-10-31T17:59:12.155565Z
gt_1079,Montreal Historic District,destination,Canada,Montreal,45.531494,-73.524047,5.58,4.74,85,"Bar, Pet Friendly","Montreal Historic District area in Montreal, known for its local culture and points of interest.",47,budget,"Tel Aviv Viewpoint, Toronto Hotel, Vienna Hotel",2025-10-31T17:59:12.155588Z
gt_108,Shanghai Inn,hotel,China,Shanghai,31.273245,121.457204,122.04,2.34,12919,"Spa, Breakfast Included, Free WiFi, Family Rooms","Comfortable Shanghai Inn located in Shanghai, offering Spa, Breakfast Included, Free WiFi, Family Rooms. Suitable for business and leisure travelers.",93,urban,,2025-10-31T17:59:12.130728Z
gt_1080,Mexico City Boutique,hotel,Mexico,Mexico City,19.477135,-99.108356,73.04,4.18,5225,Parking,"Comfortable Mexico City Boutique located in Mexico City, offering Parking. Suitable for business and leisure travelers.",81,cultural,Shanghai Temple,2025-10-31T17:59:12.155604Z
